Participant_ID,trialN,blockN,moveCount,movesTrial,reward,RT,time_out,sequence_ID
1,9.0,9.0,4.0,"[0, 1, 1, 0]",96.0,650.2399999997579,0,4.0
1,10.0,9.0,4.0,"[0, 1, 1, 0]",84.0,936.679999999702,0,4.0
1,11.0,9.0,4.0,"[0, 1, 1, 0]",76.0,1034.7800000002608,0,4.0
1,12.0,9.0,4.0,"[1, 0, 0, 1]",92.0,3696.0800000000745,0,10.0
1,13.0,9.0,4.0,"[0, 1, 1, 0]",108.0,3127.2199999997392,0,4.0
1,14.0,9.0,4.0,"[1, 0, 0, 1]",88.0,2481.600000000093,0,10.0
1,15.0,9.0,4.0,"[1, 1, 2, 2]",62.0,4245.7599999997765,0,19.0
1,16.0,9.0,4.0,"[0, 1, 1, 0]",70.0,1159.7999999998137,0,4.0
1,17.0,9.0,4.0,"[0, 1, 1, 0]",58.0,976.5200000000186,0,4.0
1,18.0,9.0,4.0,"[0, 1, 1, 0]",56.0,1213.220000000205,0,4.0
1,19.0,9.0,4.0,"[0, 1, 1, 0]",56.0,1206.1399999996647,0,4.0
1,0.0,10.0,4.0,"[0, 1, 1, 0]",92.0,2226.6599999996834,0,4.0
1,1.0,10.0,4.0,"[0, 1, 1, 0]",98.0,848.980000000447,0,4.0
1,2.0,10.0,4.0,"[0, 1, 1, 0]",90.0,729.8199999998324,0,4.0
1,3.0,10.0,4.0,"[0, 1, 1, 0]",78.0,1697.0800000000745,0,4.0
1,4.0,10.0,4.0,"[0, 1, 1, 0]",76.0,820.6199999996461,0,4.0
1,5.0,10.0,4.0,"[0, 1, 0, 1]",74.0,1751.4199999994598,0,2.0
1,6.0,10.0,4.0,"[0, 1, 1, 0]",100.0,1175.5200000004843,0,4.0
1,7.0,10.0,4.0,"[0, 1, 0, 1]",68.0,1410.160000000149,0,2.0
1,8.0,10.0,4.0,"[0, 1, 1, 0]",94.0,1467.4799999999814,0,4.0
1,9.0,10.0,4.0,"[0, 1, 1, 0]",98.0,993.179999999702,0,4.0
1,10.0,10.0,4.0,"[0, 1, 1, 0]",84.0,1060.8999999999069,0,4.0
